Fecha,Ciudad,Casos_Confirmados,Fallecidos,Recuperados
2020-03-01,Bogotá D.C.,127,2,120
2020-03-02,Bogotá D.C.,87,2,76
2020-03-03,Bogotá D.C.,114,1,111
2020-03-04,Bogotá D.C.,101,1,93
2020-03-05,Bogotá D.C.,139,3,127
2020-03-06,Bogotá D.C.,139,2,112
2020-03-07,Bogotá D.C.,102,1,88
2020-03-08,Bogotá D.C.,112,1,109
2020-03-09,Bogotá D.C.,156,3,133
2020-03-10,Bogotá D.C.,79,1,64
2020-03-11,Bogotá D.C.,179,5,174
2020-03-12,Bogotá D.C.,167,3,152
2020-03-13,Bogotá D.C.,202,2,190
2020-03-14,Bogotá D.C.,153,2,148
2020-03-15,Bogotá D.C.,145,3,134
2020-03-16,Bogotá D.C.,145,2,137
2020-03-17,Bogotá D.C.,124,2,112
2020-03-18,Bogotá D.C.,129,2,123
2020-03-19,Bogotá D.C.,121,1,103
2020-03-20,Bogotá D.C.,110,2,100
2020-03-21,Bogotá D.C.,194,4,169
2020-03-22,Bogotá D.C.,137,2,122
2020-03-23,Bogotá D.C.,111,2,94
2020-03-24,Bogotá D.C.,141,3,124
2020-03-25,Bogotá D.C.,144,3,135
2020-03-26,Bogotá D.C.,166,0,152
2020-03-27,Bogotá D.C.,210,5,193
2020-03-28,Bogotá D.C.,119,2,102
2020-03-29,Bogotá D.C.,162,3,141
2020-03-30,Bogotá D.C.,130,2,102
2020-03-31,Bogotá D.C.,191,3,172
2020-04-01,Bogotá D.C.,138,3,122
2020-04-02,Bogotá D.C.,172,3,161
2020-04-03,Bogotá D.C.,211,3,185
2020-04-04,Bogotá D.C.,140,3,126
2020-04-05,Bogotá D.C.,57,0,48
2020-04-06,Bogotá D.C.,241,6,210
2020-04-07,Bogotá D.C.,154,3,144
2020-04-08,Bogotá D.C.,196,3,175
2020-04-09,Bogotá D.C.,164,3,154
2020-04-10,Bogotá D.C.,151,3,139
2020-04-11,Bogotá D.C.,156,3,139
2020-04-12,Bogotá D.C.,202,5,190
2020-04-13,Bogotá D.C.,192,4,161
2020-04-14,Bogotá D.C.,165,3,143
2020-04-15,Bogotá D.C.,221,5,191
2020-04-16,Bogotá D.C.,222,6,208
2020-04-17,Bogotá D.C.,213,5,193
2020-04-18,Bogotá D.C.,257,3,255
2020-04-19,Bogotá D.C.,190,1,165
2020-04-20,Bogotá D.C.,180,4,178
2020-04-21,Bogotá D.C.,137,1,110
2020-04-22,Bogotá D.C.,215,5,197
2020-04-23,Bogotá D.C.,228,3,190
2020-04-24,Bogotá D.C.,285,5,258
2020-04-25,Bogotá D.C.,232,6,203
2020-04-26,Bogotá D.C.,242,2,217
2020-04-27,Bogotá D.C.,156,2,140
2020-04-28,Bogotá D.C.,204,4,171
2020-04-29,Bogotá D.C.,326,4,320
2020-04-30,Bogotá D.C.,299,3,272
2020-05-01,Bogotá D.C.,199,4,179
2020-05-02,Bogotá D.C.,199,4,181
2020-05-03,Bogotá D.C.,110,1,98
2020-05-04,Bogotá D.C.,287,6,265
2020-05-05,Bogotá D.C.,278,7,216
2020-05-06,Bogotá D.C.,265,5,231
2020-05-07,Bogotá D.C.,300,8,290
2020-05-08,Bogotá D.C.,117,2,111
2020-05-09,Bogotá D.C.,208,5,182
2020-05-10,Bogotá D.C.,177,4,162
2020-05-11,Bogotá D.C.,172,4,168
2020-05-12,Bogotá D.C.,182,5,170
2020-05-13,Bogotá D.C.,125,1,108
2020-05-14,Bogotá D.C.,250,4,229
2020-05-15,Bogotá D.C.,367,4,312
2020-05-16,Bogotá D.C.,257,3,220
2020-05-17,Bogotá D.C.,205,5,197
2020-05-18,Bogotá D.C.,194,4,182
2020-05-19,Bogotá D.C.,279,5,247
2020-05-20,Bogotá D.C.,238,4,209
2020-05-21,Bogotá D.C.,215,4,199
2020-05-22,Bogotá D.C.,334,6,301
2020-05-23,Bogotá D.C.,266,5,254
2020-05-24,Bogotá D.C.,275,4,249
2020-05-25,Bogotá D.C.,234,6,210
2020-05-26,Bogotá D.C.,219,5,214
2020-05-27,Bogotá D.C.,177,3,168
2020-05-28,Bogotá D.C.,280,4,256
2020-05-29,Bogotá D.C.,114,2,105
2020-05-30,Bogotá D.C.,232,7,210
2020-05-31,Bogotá D.C.,242,1,203
2020-06-01,Bogotá D.C.,120,3,107
2020-06-02,Bogotá D.C.,335,3,311
2020-06-03,Bogotá D.C.,229,4,221
2020-06-04,Bogotá D.C.,170,2,129
2020-06-05,Bogotá D.C.,123,2,104
2020-06-06,Bogotá D.C.,245,5,219
2020-06-07,Bogotá D.C.,217,3,194
2020-06-08,Bogotá D.C.,198,5,160
2020-06-09,Bogotá D.C.,307,6,281
2020-06-10,Bogotá D.C.,287,8,277
2020-06-11,Bogotá D.C.,223,6,185
2020-06-12,Bogotá D.C.,219,3,225
2020-06-13,Bogotá D.C.,186,3,152
2020-06-14,Bogotá D.C.,190,4,161
2020-06-15,Bogotá D.C.,263,5,239
