Fecha,Ciudad,Casos_Confirmados,Fallecidos,Recuperados
2020-03-01,Cali,33,0,32
2020-03-02,Cali,17,0,16
2020-03-03,Cali,28,0,27
2020-03-04,Cali,27,0,26
2020-03-05,Cali,32,0,29
2020-03-06,Cali,29,0,28
2020-03-07,Cali,42,1,36
2020-03-08,Cali,37,0,34
2020-03-09,Cali,20,0,18
2020-03-10,Cali,42,1,38
2020-03-11,Cali,40,0,35
2020-03-12,Cali,47,0,39
2020-03-13,Cali,54,1,48
2020-03-14,Cali,41,0,34
2020-03-15,Cali,33,0,29
2020-03-16,Cali,34,0,32
2020-03-17,Cali,34,0,30
2020-03-18,Cali,51,0,48
2020-03-19,Cali,45,0,44
2020-03-20,Cali,52,0,52
2020-03-21,Cali,32,0,28
2020-03-22,Cali,35,0,31
2020-03-23,Cali,28,0,25
2020-03-24,Cali,37,0,32
2020-03-25,Cali,60,1,53
2020-03-26,Cali,55,0,50
2020-03-27,Cali,39,0,36
2020-03-28,Cali,42,0,33
2020-03-29,Cali,40,0,36
2020-03-30,Cali,38,0,33
2020-03-31,Cali,58,1,55
2020-04-01,Cali,49,0,45
2020-04-02,Cali,35,0,34
2020-04-03,Cali,58,1,54
2020-04-04,Cali,69,1,63
2020-04-05,Cali,65,1,59
2020-04-06,Cali,78,1,72
2020-04-07,Cali,53,1,46
2020-04-08,Cali,42,0,38
2020-04-09,Cali,57,1,49
2020-04-10,Cali,36,0,31
2020-04-11,Cali,53,0,48
2020-04-12,Cali,67,1,55
2020-04-13,Cali,56,1,49
2020-04-14,Cali,51,1,44
2020-04-15,Cali,49,1,44
2020-04-16,Cali,38,0,33
2020-04-17,Cali,60,1,55
2020-04-18,Cali,46,1,41
2020-04-19,Cali,49,1,44
2020-04-20,Cali,50,1,46
2020-04-21,Cali,59,1,53
2020-04-22,Cali,35,0,28
2020-04-23,Cali,60,0,52
2020-04-24,Cali,50,1,45
2020-04-25,Cali,65,0,57
2020-04-26,Cali,76,1,71
2020-04-27,Cali,78,0,81
2020-04-28,Cali,50,1,45
2020-04-29,Cali,45,1,40
2020-04-30,Cali,54,0,48
2020-05-01,Cali,63,1,60
2020-05-02,Cali,43,0,42
2020-05-03,Cali,43,0,36
2020-05-04,Cali,79,1,74
2020-05-05,Cali,69,1,60
2020-05-06,Cali,64,1,57
2020-05-07,Cali,60,1,51
2020-05-08,Cali,69,1,64
2020-05-09,Cali,43,1,36
2020-05-10,Cali,72,0,70
2020-05-11,Cali,99,2,78
2020-05-12,Cali,80,2,77
2020-05-13,Cali,58,1,54
2020-05-14,Cali,80,1,71
2020-05-15,Cali,54,0,51
2020-05-16,Cali,73,1,69
2020-05-17,Cali,69,1,65
2020-05-18,Cali,72,0,64
2020-05-19,Cali,91,1,81
2020-05-20,Cali,48,1,42
2020-05-21,Cali,82,1,69
2020-05-22,Cali,62,1,58
2020-05-23,Cali,81,2,77
2020-05-24,Cali,49,1,43
2020-05-25,Cali,106,2,87
2020-05-26,Cali,67,1,58
2020-05-27,Cali,67,1,61
2020-05-28,Cali,67,1,56
2020-05-29,Cali,56,0,52
2020-05-30,Cali,81,0,73
2020-05-31,Cali,87,1,81
2020-06-01,Cali,43,1,36
2020-06-02,Cali,84,1,78
2020-06-03,Cali,62,1,59
2020-06-04,Cali,62,1,54
2020-06-05,Cali,54,1,49
2020-06-06,Cali,31,0,27
2020-06-07,Cali,24,0,22
2020-06-08,Cali,23,0,20
2020-06-09,Cali,93,1,79
2020-06-10,Cali,86,2,72
2020-06-11,Cali,55,1,52
2020-06-12,Cali,51,1,49
2020-06-13,Cali,76,0,61
2020-06-14,Cali,65,1,67
2020-06-15,Cali,69,1,55
2020-06-16,Cali,53,0,49
2020-06-17,Cali,45,0,37
2020-06-18,Cali,48,1,43
2020-06-19,Cali,99,0,89
2020-06-20,Cali,70,1,59
2020-06-21,Cali,79,2,66
2020-06-22,Cali,60,1,57
2020-06-23,Cali,31,0,26
2020-06-24,Cali,58,1,53
2020-06-25,Cali,77,0,69
2020-06-26,Cali,78,1,75
2020-06-27,Cali,72,1,61
2020-06-28,Cali,80,1,73
2020-06-29,Cali,82,1,72
2020-06-30,Cali,68,0,63
2020-07-01,Cali,82,1,80
2020-07-02,Cali,60,1,55
2020-07-03,Cali,77,1,67
2020-07-04,Cali,83,1,77
2020-07-05,Cali,55,0,48
2020-07-06,Cali,97,2,88
2020-07-07,Cali,58,1,48
2020-07-08,Cali,70,2,58
2020-07-09,Cali,67,1,61
2020-07-10,Cali,95,1,83
2020-07-11,Cali,81,1,72
2020-07-12,Cali,86,1,82
2020-07-13,Cali,67,1,63
2020-07-14,Cali,64,1,57
2020-07-15,Cali,63,1,52
2020-07-16,Cali,63,1,53
2020-07-17,Cali,41,1,35
2020-07-18,Cali,63,1,50
2020-07-19,Cali,56,0,53
2020-07-20,Cali,53,0,43
2020-07-21,Cali,102,2,99
2020-07-22,Cali,56,0,50
2020-07-23,Cali,105,3,94
2020-07-24,Cali,60,1,56
2020-07-25,Cali,34,0,31
2020-07-26,Cali,109,1,94
2020-07-27,Cali,70,1,60
2020-07-28,Cali,59,0,55
2020-07-29,Cali,76,1,68
2020-07-30,Cali,66,1,56
2020-07-31,Cali,86,1,78
2020-08-01,Cali,67,1,62
2020-08-02,Cali,63,0,53
2020-08-03,Cali,89,1,80
2020-08-04,Cali,90,1,83
2020-08-05,Cali,105,1,96
2020-08-06,Cali,50,1,46
2020-08-07,Cali,74,1,60
2020-08-08,Cali,80,1,68
2020-08-09,Cali,66,1,57
2020-08-10,Cali,67,1,60
2020-08-11,Cali,44,0,39
2020-08-12,Cali,61,0,54
2020-08-13,Cali,87,1,76
2020-08-14,Cali,46,1,43
2020-08-15,Cali,52,0,47
2020-08-16,Cali,51,0,42
2020-08-17,Cali,52,0,52
2020-08-18,Cali,75,1,70
2020-08-19,Cali,66,0,58
2020-08-20,Cali,70,0,62
2020-08-21,Cali,74,1,65
2020-08-22,Cali,32,0,27
2020-08-23,Cali,66,1,57
2020-08-24,Cali,32,0,29
2020-08-25,Cali,83,1,72
2020-08-26,Cali,73,1,68
2020-08-27,Cali,49,0,44
2020-08-28,Cali,58,1,51
2020-08-29,Cali,57,0,51
2020-08-30,Cali,56,0,50
2020-08-31,Cali,47,1,42
2020-09-01,Cali,61,0,54
2020-09-02,Cali,73,1,65
2020-09-03,Cali,47,0,42
2020-09-04,Cali,29,0,26
2020-09-05,Cali,64,1,57
2020-09-06,Cali,89,2,77
2020-09-07,Cali,69,1,63
2020-09-08,Cali,69,1,62
2020-09-09,Cali,47,0,40
2020-09-10,Cali,48,0,43
2020-09-11,Cali,54,0,46
2020-09-12,Cali,69,1,76
2020-09-13,Cali,73,1,68
2020-09-14,Cali,48,0,40
2020-09-15,Cali,61,1,56
2020-09-16,Cali,63,1,60
2020-09-17,Cali,29,0,28
2020-09-18,Cali,64,0,57
2020-09-19,Cali,50,0,44
2020-09-20,Cali,62,1,49
2020-09-21,Cali,58,1,50
2020-09-22,Cali,60,0,49
2020-09-23,Cali,55,1,55
2020-09-24,Cali,38,0,36
2020-09-25,Cali,36,0,35
2020-09-26,Cali,68,1,58
2020-09-27,Cali,74,1,61
2020-09-28,Cali,44,0,43
2020-09-29,Cali,45,0,39
